FORMAT OF THE SUBSETTED FILE
    
    ITEMS                      FORMAT   
     
 1 YEAR                          I4        
 2 DOY                           I4        
 3 Hour                          I3        
 4 Dst-index, nT                 I6        
 5 f10.7_index                   F6.1

2018  36 17    -9  72.0
2018  36 18    -4  72.0
2018  36 19    -5  72.0
2018  36 20    -7  72.0
2018  36 21    -6  72.0
2018  36 22    -4  72.0
2018  36 23    -2  72.0
2018  37  0    -1  74.6
2018  37  1    -2  74.6
2018  37  2     2  74.6
2018  37  3    -1  74.6
2018  37  4    -2  74.6
2018  37  5    -2  74.6
2018  37  6    -2  74.6
2018  37  7    -3  74.6
2018  37  8    -6  74.6
2018  37  9    -5  74.6
2018  37 10    -3  74.6
2018  37 11   -10  74.6
2018  37 12    -8  74.6
2018  37 13    -8  74.6
2018  37 14    -8  74.6
2018  37 15    -6  74.6
2018  37 16    -4  74.6
2018  37 17    -3  74.6
2018  37 18    -6  74.6
2018  37 19    -6  74.6
2018  37 20    -5  74.6
2018  37 21    -4  74.6
2018  37 22     0  74.6
2018  37 23     0  74.6
2018  38  0    -2  74.6
2018  38  1    -3  74.6
2018  38  2    -5  74.6
2018  38  3    -6  74.6
2018  38  4    -5  74.6
2018  38  5    -4  74.6
2018  38  6    -5  74.6
2018  38  7    -4  74.6
2018  38  8    -1  74.6
2018  38  9     3  74.6
2018  38 10     2  74.6
2018  38 11    -1  74.6
2018  38 12    -5  74.6
2018  38 13    -7  74.6
2018  38 14    -6  74.6
2018  38 15    -5  74.6
2018  38 16    -4  74.6
2018  38 17    -4  74.6
2018  38 18    -3  74.6
2018  38 19    -2  74.6
2018  38 20    -2  74.6
2018  38 21     0  74.6
2018  38 22     1  74.6
2018  38 23     2  74.6
2018  39  0     2  75.5
2018  39  1     0  75.5
2018  39  2     1  75.5
2018  39  3     2  75.5
2018  39  4     2  75.5
2018  39  5     4  75.5
2018  39  6     4  75.5
2018  39  7     4  75.5
2018  39  8     2  75.5
2018  39  9    -1  75.5
2018  39 10     0  75.5
2018  39 11     2  75.5
2018  39 12     3  75.5
2018  39 13     2  75.5
2018  39 14     2  75.5
2018  39 15     1  75.5
2018  39 16     1  75.5
2018  39 17     0  75.5
2018  39 18     2  75.5
2018  39 19     3  75.5
2018  39 20     2  75.5
2018  39 21     1  75.5
2018  39 22     4  75.5
2018  39 23     5  75.5
2018  40  0     4  76.1
2018  40  1     2  76.1
2018  40  2     2  76.1
2018  40  3     1  76.1
2018  40  4     0  76.1
2018  40  5    -2  76.1
2018  40  6    -3  76.1
2018  40  7    -1  76.1
2018  40  8    -3  76.1
2018  40  9    -3  76.1
2018  40 10    -5  76.1
2018  40 11    -7  76.1
2018  40 12    -6  76.1
2018  40 13    -4  76.1
2018  40 14    -3  76.1
2018  40 15    -1  76.1
2018  40 16     1  76.1
2018  40 17     3  76.1
2018  40 18     3  76.1
2018  40 19     5  76.1
2018  40 20     5  76.1
2018  40 21     6  76.1
2018  40 22     5  76.1
2018  40 23     6  76.1
2018  41  0     5  76.2
2018  41  1     9  76.2
2018  41  2    11  76.2
2018  41  3    12  76.2
2018  41  4    12  76.2
2018  41  5     8  76.2
2018  41  6     6  76.2
2018  41  7     7  76.2
2018  41  8     3  76.2
2018  41  9     1  76.2
2018  41 10    -4  76.2
2018  41 11    -6  76.2
2018  41 12   -10  76.2
2018  41 13    -9  76.2
2018  41 14    -6  76.2
2018  41 15    -3  76.2
2018  41 16    -5  76.2
2018  41 17    -8  76.2
2018  41 18    -7  76.2
2018  41 19   -10  76.2
2018  41 20   -11  76.2
2018  41 21    -9  76.2
